Date,Holiday,Discount,Discounted Stores,Orders,Sales
2018-01-01,1,Yes,1.0,4599,3527438.79
2018-01-02,0,Yes,1.0,5656,4622676.0
2018-01-03,0,Yes,1.0,5263,4306149.0
2018-01-04,0,Yes,1.0,5551,4566798.0
2018-01-05,0,Yes,1.0,6316,5375703.0
2018-01-06,0,No,0.0,4667,3630585.0
2018-01-07,0,No,0.0,5638,4237938.0
2018-01-08,0,No,0.0,4846,3626886.0
2018-01-09,0,No,0.0,4316,3216840.0
2018-01-10,0,No,0.0,4484,3336492.0
2018-01-11,0,No,0.0,5032,3787968.0
2018-01-12,0,No,0.0,4263,3301104.0
2018-01-13,0,Yes,0.9883720930232558,6219,4950039.0
2018-01-14,1,Yes,0.9883720930232558,6047,4791038.64
2018-01-15,0,Yes,1.0,5464,4384500.0
2018-01-16,0,Yes,1.0,5714,3814950.0
2018-01-17,0,Yes,1.0,6454,4439874.0
2018-01-18,0,No,0.011627906976744186,4168,2620095.0
2018-01-19,0,No,0.011627906976744186,5120,3161409.0
2018-01-20,0,No,0.0,5766,3565434.0
2018-01-21,0,No,0.0,5560,3511614.0
2018-01-22,1,No,0.0,4596,3385554.63
2018-01-23,0,No,0.0,5152,3194709.0
2018-01-24,0,No,0.0,4115,2595132.0
2018-01-25,0,Yes,0.9883720930232558,5526,3595452.0
2018-01-26,1,Yes,0.9883720930232558,3253,2063499.3
2018-01-27,0,Yes,0.9883720930232558,6200,4130403.0
2018-01-28,0,Yes,0.9883720930232558,7901,5620620.0
2018-01-29,0,Yes,1.0,6857,4874775.0
2018-01-30,0,No,0.011627906976744186,4313,2741562.0
2018-01-31,1,No,0.011627906976744186,4174,2650150.08
2018-02-01,0,No,0.011627906976744186,4676,2818629.0
2018-02-02,0,No,0.011627906976744186,4584,2769846.0
2018-02-03,0,No,0.0,5313,3240330.0
2018-02-04,0,No,0.0,5430,3343017.0
2018-02-05,0,No,0.0,4258,2669418.0
2018-02-06,0,Yes,0.9883720930232558,5723,3714876.0
2018-02-07,0,Yes,0.9883720930232558,5442,3541389.0
2018-02-08,0,Yes,0.9883720930232558,5462,3588699.0
2018-02-09,0,Yes,0.9883720930232558,5962,3982848.0
2018-02-10,1,Yes,0.9883720930232558,6771,3866658.48
2018-02-11,0,No,0.0,5022,3204954.0
2018-02-12,0,No,0.011627906976744186,4894,2988159.0
2018-02-13,0,No,0.011627906976744186,4837,2925282.0
2018-02-14,1,No,0.011627906976744186,4712,2848019.61
2018-02-15,0,No,0.011627906976744186,4832,2966964.0
2018-02-16,0,No,0.011627906976744186,5184,3182364.0
2018-02-17,0,No,0.0,5106,3225231.0
2018-02-18,0,Yes,0.9883720930232558,7508,4974717.0
2018-02-19,1,Yes,0.9883720930232558,6216,4817179.92
2018-02-20,0,Yes,0.9883720930232558,5919,3971610.0
2018-02-21,0,Yes,0.9883720930232558,6595,4507428.0
2018-02-22,0,No,0.3023255813953488,5493,3646701.0
2018-02-23,0,No,0.0,5365,3403404.0
2018-02-24,0,No,0.0,6095,3833925.0
2018-02-25,0,No,0.0,5776,3581031.0
2018-02-26,0,No,0.011627906976744186,5244,3233112.0
2018-02-27,0,No,0.011627906976744186,5033,3123411.0
2018-02-28,0,Yes,0.6976744186046512,5266,3326913.0
2018-03-01,1,Yes,1.0,5120,3234150.21
2018-03-02,1,Yes,1.0,762,506961.27
2018-03-03,0,Yes,0.9883720930232558,6495,4279341.0
2018-03-04,0,Yes,0.9883720930232558,7266,4852866.0
2018-03-05,0,No,0.3023255813953488,5207,3337041.0
2018-03-06,0,No,0.0,5385,3378081.0
2018-03-07,0,No,0.0,6029,3683826.0
2018-03-08,0,No,0.0,5240,3163554.0
2018-03-09,0,No,0.0,4839,2904735.0
2018-03-10,0,No,0.0,5874,3658398.0
2018-03-11,0,Yes,0.686046511627907,6428,4125660.0
2018-03-12,0,Yes,1.0,5795,3708336.0
2018-03-13,0,Yes,1.0,5634,3666885.0
2018-03-14,0,Yes,1.0,5602,3661392.0
2018-03-15,0,Yes,1.0,6433,4263396.0
2018-03-16,0,No,0.313953488372093,6162,3993900.0
2018-03-17,0,No,0.686046511627907,7794,5145159.0
2018-03-18,1,Yes,0.9883720930232558,7576,5000398.44
2018-03-19,0,Yes,0.9883720930232558,5952,3966882.0
2018-03-20,0,Yes,0.9883720930232558,6181,4195350.0
2018-03-21,0,Yes,0.3023255813953488,5143,3332193.0
2018-03-22,0,No,0.0,4487,2724390.0
2018-03-23,0,No,0.0,4721,2835765.0
2018-03-24,0,No,0.0,5282,3192465.0
2018-03-25,1,No,0.0,5106,3089036.19
2018-03-26,0,No,0.011627906976744186,4703,2793717.0
2018-03-27,0,No,0.011627906976744186,4695,2865504.0
2018-03-28,0,No,0.6976744186046512,5363,3452133.0
2018-03-29,1,Yes,1.0,5206,3351765.21
2018-03-30,1,Yes,1.0,4157,2699827.56
2018-03-31,0,Yes,0.9883720930232558,6431,4255758.0
2018-04-01,1,Yes,0.9883720930232558,6243,4137095.07
2018-04-02,0,Yes,0.313953488372093,5369,3462702.0
2018-04-03,0,No,0.011627906976744186,4638,2826951.0
2018-04-04,0,No,0.011627906976744186,4828,2903010.0
2018-04-05,0,No,0.011627906976744186,4817,2914479.0
2018-04-06,0,No,0.0,5324,3239328.0
2018-04-07,0,No,0.0,7164,4506792.0
2018-04-08,0,Yes,0.686046511627907,7983,5226372.0
2018-04-09,0,Yes,0.9883720930232558,6652,4451460.0
2018-04-10,0,Yes,0.9883720930232558,6353,4503330.0
2018-04-11,0,Yes,0.9883720930232558,7050,5095818.0
2018-04-12,0,No,0.3023255813953488,5472,3649551.0
2018-04-13,0,No,0.0,4783,2986116.0
2018-04-14,1,No,0.0,5452,2904500.25
2018-04-15,1,No,0.011627906976744186,4091,2536135.83
2018-04-16,0,No,0.011627906976744186,4540,2731635.0
2018-04-17,0,No,0.011627906976744186,4844,2906208.0
2018-04-18,0,No,0.011627906976744186,4672,2911914.0
2018-04-19,0,Yes,0.6976744186046512,5237,3361473.0
2018-04-20,0,Yes,0.9767441860465116,5436,3480258.0
2018-04-21,0,Yes,0.9883720930232558,6191,4010616.0
2018-04-22,0,Yes,0.9883720930232558,6351,4146099.0
2018-04-23,0,Yes,0.9883720930232558,6336,4215294.0
2018-04-24,0,Yes,0.313953488372093,5199,3355713.0
2018-04-25,0,No,0.011627906976744186,4723,2920320.0
2018-04-26,0,No,0.0,4896,2964933.0
2018-04-27,0,No,0.0,4639,2813796.0
2018-04-28,0,No,0.0,5461,3335703.0
2018-04-29,0,No,0.011627906976744186,5761,3532527.0
2018-04-30,1,No,0.011627906976744186,4747,3407413.38
2018-05-01,0,Yes,0.686046511627907,5339,3828324.0
2018-05-02,0,Yes,0.9883720930232558,5758,4095486.0
2018-05-03,0,Yes,0.9883720930232558,5490,3986649.0
2018-05-04,0,Yes,0.9883720930232558,5646,4140549.0
2018-05-05,0,Yes,0.9883720930232558,7549,5718411.0
2018-05-06,0,No,0.313953488372093,6495,4748028.0
2018-05-07,0,No,0.011627906976744186,5054,3560964.0
2018-05-08,0,No,0.0,5109,3499512.0
2018-05-09,1,No,0.011627906976744186,4951,3389401.29
2018-05-10,0,No,0.011627906976744186,4477,2994687.0
2018-05-11,0,No,0.011627906976744186,4441,2945007.0
2018-05-12,0,No,0.03488372093023256,5215,3605406.0
2018-05-13,0,No,0.6976744186046512,5915,4236660.0
2018-05-14,0,Yes,0.9883720930232558,5540,3962340.0
2018-05-15,0,Yes,0.9767441860465116,5361,3850938.0
2018-05-16,0,Yes,0.9767441860465116,5183,3782145.0
2018-05-17,0,Yes,0.9651162790697675,5552,4144365.0
2018-05-18,0,No,0.3023255813953488,5220,3720600.0
2018-05-19,0,No,0.0,5809,4013823.0
2018-05-20,0,No,0.0,5694,3839904.0
2018-05-21,0,No,0.011627906976744186,4903,3286035.0
2018-05-22,0,No,0.023255813953488372,4696,3133296.0
2018-05-23,0,No,0.023255813953488372,4783,3199383.0
2018-05-24,0,No,0.023255813953488372,4630,3205719.0
2018-05-25,0,Yes,0.6976744186046512,5230,3727374.0
2018-05-26,0,Yes,0.9883720930232558,6552,4716960.0
2018-05-27,0,Yes,0.9883720930232558,6287,4570521.0
2018-05-28,0,Yes,1.0,5537,4018713.0
2018-05-29,0,Yes,1.0,5995,4432134.0
2018-05-30,0,No,0.32558139534883723,5538,4004547.0
2018-05-31,0,Yes,0.6744186046511628,5425,3972714.0
2018-06-01,0,Yes,0.9767441860465116,5668,4140261.0
2018-06-02,0,Yes,0.9767441860465116,6204,4554594.0
2018-06-03,0,Yes,0.9651162790697675,6260,4585125.0
2018-06-04,0,Yes,0.9651162790697675,5754,4245873.0
2018-06-05,0,No,0.3023255813953488,4675,3351792.0
2018-06-06,0,No,0.011627906976744186,4534,3087120.0
2018-06-07,0,No,0.011627906976744186,4629,3091005.0
2018-06-08,0,No,0.011627906976744186,4420,2964570.0
2018-06-09,0,No,0.023255813953488372,5247,3515499.0
2018-06-10,0,No,0.03488372093023256,5525,3683172.0
2018-06-11,0,No,0.023255813953488372,4618,3165603.0
2018-06-12,0,Yes,0.686046511627907,5337,3802590.0
2018-06-13,0,Yes,0.9883720930232558,5575,3982095.0
2018-06-14,0,Yes,0.9651162790697675,5168,3734988.0
2018-06-15,1,Yes,0.9767441860465116,5005,3616596.57
2018-06-16,1,Yes,0.9767441860465116,3736,2298119.52
2018-06-17,0,No,0.313953488372093,5843,4203942.0
2018-06-18,0,No,0.686046511627907,5085,3690690.0
2018-06-19,0,Yes,0.9883720930232558,5205,3806370.0
2018-06-20,0,Yes,0.9883720930232558,5586,4101522.0
2018-06-21,0,Yes,0.9883720930232558,6189,4581837.0
2018-06-22,0,Yes,0.7674418604651163,6408,4775667.0
2018-06-23,0,No,0.20930232558139536,5496,3952914.0
2018-06-24,0,No,0.18604651162790697,6245,4443213.0
2018-06-25,0,No,0.011627906976744186,4119,2845125.0
2018-06-26,0,No,0.011627906976744186,5418,3802272.0
2018-06-27,0,No,0.011627906976744186,5795,4047930.0
2018-06-28,0,No,0.011627906976744186,4835,3343320.0
2018-06-29,0,No,0.0,4706,3248031.0
2018-06-30,0,No,0.011627906976744186,8638,6100476.0
2018-07-01,0,No,0.023255813953488372,9660,6226245.0
2018-07-02,0,No,0.2441860465116279,6675,4380129.0
2018-07-03,0,Yes,0.7906976744186046,6589,4414656.0
2018-07-04,0,Yes,0.9883720930232558,7108,4771026.0
2018-07-05,0,Yes,0.9767441860465116,6631,4556712.0
2018-07-06,0,No,0.813953488372093,6996,4823478.0
2018-07-07,0,Yes,0.7558139534883721,8594,6117816.0
2018-07-08,0,No,0.20930232558139536,6547,4338339.0
2018-07-09,0,No,0.011627906976744186,5070,3222711.0
2018-07-10,0,No,0.011627906976744186,5172,3234165.0
2018-07-11,0,No,0.0,4919,3086640.0
2018-07-12,0,No,0.18604651162790697,5313,3325164.0
2018-07-13,0,No,0.19767441860465115,5383,3357291.0
2018-07-14,1,Yes,0.2558139534883721,6131,3262845.06
2018-07-15,0,Yes,0.8023255813953488,7499,5004423.0
2018-07-16,0,Yes,1.0,6607,4432653.0
2018-07-17,0,Yes,0.813953488372093,5782,3865620.0
2018-07-18,0,Yes,0.813953488372093,6302,4204743.0
2018-07-19,0,Yes,0.7674418604651163,6831,4606746.0
2018-07-20,0,No,0.27906976744186046,5671,3704880.0
2018-07-21,0,No,0.627906976744186,7212,4760661.0
2018-07-22,0,Yes,0.8255813953488372,7091,4672563.0
2018-07-23,0,Yes,0.9651162790697675,5702,3752193.0
2018-07-24,0,Yes,0.9651162790697675,5810,3811698.0
2018-07-25,0,Yes,0.9069767441860465,6198,4094928.0
2018-07-26,0,No,0.36046511627906974,4865,3098271.0
2018-07-27,0,No,0.16279069767441862,5020,3085089.0
2018-07-28,0,Yes,0.011627906976744186,5867,3583524.0
2018-07-29,0,No,0.023255813953488372,5675,3446424.0
2018-07-30,0,No,0.03488372093023256,4697,2833341.0
2018-07-31,0,No,0.03488372093023256,4948,2978835.0
2018-08-01,0,No,0.09302325581395349,4480,2771142.0
2018-08-02,0,Yes,0.686046511627907,5487,3452706.0
2018-08-03,0,Yes,0.813953488372093,5514,3499551.0
2018-08-04,0,Yes,0.9651162790697675,6315,4073700.0
2018-08-05,0,Yes,0.9767441860465116,6471,4177164.0
2018-08-06,0,Yes,0.9186046511627907,5918,3845796.0
2018-08-07,0,No,0.36046511627906974,4796,3030879.0
2018-08-08,0,Yes,0.8488372093023255,5836,3739680.0
2018-08-09,0,Yes,0.8372093023255814,5794,3729732.0
2018-08-10,0,Yes,0.9883720930232558,6038,3939132.0
2018-08-11,0,Yes,0.9883720930232558,7234,4799253.0
2018-08-12,0,Yes,0.9302325581395349,8146,5509503.0
2018-08-13,0,No,0.313953488372093,6043,3792828.0
2018-08-14,0,No,0.0,5501,3368670.0
2018-08-15,1,No,0.011627906976744186,2920,1747183.71
2018-08-16,0,No,0.023255813953488372,4690,2802141.0
2018-08-17,1,No,0.023255813953488372,4549,2715292.65
2018-08-18,0,No,0.08139534883720931,5054,3096957.0
2018-08-19,0,No,0.6046511627906976,6378,3970434.0
2018-08-20,0,Yes,0.8837209302325582,5679,3554727.0
2018-08-21,0,Yes,0.9767441860465116,5227,3342561.0
2018-08-22,1,Yes,0.9767441860465116,4466,2846797.47
2018-08-23,0,Yes,0.9186046511627907,6004,3908136.0
2018-08-24,0,No,0.23255813953488372,4494,2795871.0
2018-08-25,1,No,0.10465116279069768,5096,2712298.35
2018-08-26,1,No,0.0,3729,2277209.31
2018-08-27,0,No,0.011627906976744186,4594,2743068.0
2018-08-28,0,No,0.023255813953488372,4592,2722977.0
2018-08-29,0,No,0.023255813953488372,4774,2827179.0
2018-08-30,0,No,0.08139534883720931,4403,2679456.0
2018-08-31,0,No,0.7674418604651163,5457,3428505.0
2018-09-01,0,Yes,0.8837209302325582,6506,4165317.0
2018-09-02,0,Yes,0.9883720930232558,6334,4112688.0
2018-09-03,1,Yes,1.0,5226,3973043.2800000003
2018-09-04,0,Yes,0.9418604651162791,6516,4347714.0
2018-09-05,0,No,0.313953488372093,5214,3317757.0
2018-09-06,0,No,0.7093023255813954,6216,3921669.0
