Date,Company_Orders,Region 1_Orders,Region 2_Orders,Region 3_Orders,Region 4_Orders
2019-06-01,27837.468768676234,11228.470397071756,7352.762203339236,5930.6306924225855,3259.2666006312224
2019-06-02,27544.890281277134,11046.733232951796,7308.909112618024,5871.062069932137,3234.33180187372
2019-06-03,23127.576164864222,9426.032852218195,6078.693812305539,4859.07414443824,2694.8419912579666
2019-06-04,22809.23952486742,9336.901686762392,5998.267018199237,4747.534356378995,2644.796270319663
2019-06-05,21851.042165360264,8797.241137819943,5749.87119909619,4679.0085647705455,2505.4133421246634
2019-06-06,27276.51429365976,10894.685741971269,7278.054716202336,5816.488867263391,3138.4562650736016
2019-06-07,27610.832908290304,11046.14709520625,7350.324130008372,5906.394288964115,3169.793522390832
2019-06-08,31344.63652297611,12407.650925497675,8350.26757390125,6834.867775063457,3604.970141950825
2019-06-09,29892.489334667276,11884.14215475998,7870.4481323665605,6609.5654596164395,3410.165206185286
2019-06-10,24507.080252511336,9733.361561450278,6738.623203215218,5098.954654813014,2767.5903932427327
2019-06-11,24275.700437826355,9763.928220032323,6710.931980918023,4941.912985182288,2704.3486430790936
2019-06-12,24782.715393589075,9904.446892904929,6843.660475142216,5068.058711442843,2794.228308981244
2019-06-13,24264.842486451627,9624.902610883586,6730.955799352383,4918.303138290359,2788.2205562881113
2019-06-14,24852.940547613223,9908.80588250174,6775.183744431417,5073.053147772071,2897.761878069795
2019-06-15,28068.31252277216,11283.489134207555,7435.562662935654,5876.589241509451,3307.888631296666
2019-06-16,30130.935173243808,12006.552451925989,7833.760542129744,6589.484923717973,3532.685440655437
2019-06-17,26281.809846431723,10459.365186054638,6856.560513694569,5723.588808430015,3063.5781524178515
2019-06-18,27108.90930406551,10765.979643364715,7102.429900972624,5876.979822792645,3170.444795778643
2019-06-19,27128.478688417996,10658.38576334739,7150.085367058552,5916.82886460582,3192.405922776444
2019-06-20,26922.080418430785,10576.473071912736,7072.093074929832,5929.940509935776,3144.8102631207958
2019-06-21,25503.225144247357,10045.265359664758,6834.7448190500745,5412.849003104898,2994.9063709132624
2019-06-22,31647.05606151327,12416.357731725217,8605.237762233053,6643.587754913683,3725.301287698923
2019-06-23,32464.487135027874,12780.826905840733,8890.769657673925,6753.761462370479,3790.098506143638
2019-06-24,28750.594115641765,11281.659490997992,7922.6667149758705,5947.713662378401,3348.1204388670335
2019-06-25,28199.408490130994,11001.944095826198,7765.710929544454,5802.747355548701,3351.158117317994
2019-06-26,28509.43138989163,11245.904438722475,7700.218826509768,5902.041316761989,3409.6098505980453
2019-06-27,26759.31160913002,10671.912304375344,7061.5362914546795,5601.643852273763,3204.497033899309
2019-06-28,28903.145596267408,11481.802420998929,7409.498958133205,6347.117368717494,3446.1841477893795
2019-06-29,34438.56959799695,13710.941473494997,8880.104095168075,7528.49588069383,4097.8204679553255
2019-06-30,36650.65313010629,14538.982887328419,9547.648701534315,7989.5057903697525,4339.482976780715
2019-07-01,32427.668347248957,12750.537501226718,8494.943629481246,7070.881658711818,3854.626678712971
2019-07-02,32068.559907299386,12650.45153325265,8359.571656012362,7040.73773717837,3781.7507129025057
2019-07-03,31118.963405870934,12246.545369902937,8384.321719069458,6535.021159105783,3669.5304907369414
2019-07-04,26137.01678140882,10331.52657500947,7107.792277423495,5371.627178741529,3040.7713603659354
2019-07-05,30784.623199152764,12292.450472145769,8316.966975746775,6349.270350403851,3554.934907975796
2019-07-06,35967.70692986269,14330.77182272359,9699.228708353665,7499.0284394329055,4165.255392093444
2019-07-07,35646.890814274295,14316.943009779163,9440.05174561153,7463.107010206388,4184.202531673343
2019-07-08,31897.81185681575,12779.223626724806,8491.73877496299,6617.4864560258475,3749.1061565990917
2019-07-09,32702.37949038043,13042.106894131255,8584.573099074061,6988.514484283759,3823.777330646846
2019-07-10,32156.62817323034,12845.791483214138,8450.48346746434,6871.1349801808965,3726.5672477821463
2019-07-11,32235.20040866093,12933.883808874118,8556.230441668655,6787.150914644429,3688.7037147868896
2019-07-12,32396.726464656473,12922.053343938256,8719.191460057247,6808.800561180522,3664.5005685103574
2019-07-13,36296.054633803644,14576.082189819619,9603.010640240533,7772.161084660927,4117.527866443408
2019-07-14,34549.0295139541,13906.668265760629,9248.58470361003,7241.820106892821,3928.514874253694
2019-07-15,29780.883468073553,12005.295855170087,7983.30563046835,6212.947850319189,3357.5963508149853
2019-07-16,28172.964957290864,11428.805080273509,7543.260246775971,5842.424549787952,3148.7126045287596
2019-07-17,28008.47127568859,11380.612713141492,7507.2955024005705,5812.466819533297,3103.9128253667172
2019-07-18,27004.62978789288,10927.202455892733,7344.0155312692095,5510.504457687892,2995.799951657798
2019-07-19,27345.180295671926,11132.084874815084,7390.955911634332,5550.791923503799,3060.2610941059934
2019-07-20,32528.588760660146,13110.540672304145,8872.073442498055,6612.374691801111,3700.605807048508
2019-07-21,34477.96545662733,13766.271308020825,9300.31721218882,7258.921929382519,3919.2630820319027
2019-07-22,29908.6885126346,11943.535030792493,8132.836969325486,6235.43645206328,3363.6807119583395
2019-07-23,30316.717898815656,12122.092254850335,8302.668129461008,6265.726941627195,3389.583806468786
2019-07-24,30267.072077336277,11985.587848273106,8428.763990739268,6261.463704217309,3346.1582097693367
2019-07-25,28699.035640721788,11457.51055915835,7911.70970713185,6008.930220645764,3132.9937694208684
2019-07-26,26194.276560642014,10480.482181398502,7346.97593279428,5321.952624671206,2863.9773949466835
2019-07-27,29927.48539369891,11941.380441587247,8309.169053791493,6174.244305787846,3328.1424349310964
2019-07-28,29383.975965453497,11747.247012937201,8161.089039374612,6066.600407192584,3249.1691367374665
2019-07-29,25459.944578919545,10203.760388600913,7128.943057112641,5200.353964397576,2771.2448786375894
2019-07-30,25407.524174766702,10118.511114613193,7171.745574704022,5138.0343754029955,2800.5290169339214
2019-07-31,26325.160105411986,10532.767804165866,7371.424899487842,5312.918363029388,2944.987381150958
