Date,Holiday,Discounted Stores,Day Count,Weekend,Month_sine,Month_cosine,Day of Week_sine,Day of Week_cosine
2019-06-01,0,0.02857142857142857,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2019-06-02,0,0.047619047619047616,1,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2019-06-03,0,0.0761904761904762,2,0,1.2246467991473532e-16,-1.0,0.0,1.0
2019-06-04,0,0.06666666666666667,3,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2019-06-05,1,0.638095238095238,4,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
2019-06-06,0,0.8476190476190476,5,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2019-06-07,0,0.9047619047619048,6,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2019-06-08,0,0.9238095238095239,7,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2019-06-09,0,0.6,8,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2019-06-10,0,0.6095238095238096,9,0,1.2246467991473532e-16,-1.0,0.0,1.0
2019-06-11,0,0.5619047619047619,10,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2019-06-12,0,0.5047619047619047,11,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
2019-06-13,0,0.44761904761904764,12,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2019-06-14,0,0.4857142857142857,13,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2019-06-15,0,0.14285714285714285,14,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2019-06-16,0,0.3047619047619048,15,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2019-06-17,0,0.3047619047619048,16,0,1.2246467991473532e-16,-1.0,0.0,1.0
2019-06-18,0,0.4666666666666667,17,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2019-06-19,0,0.44761904761904764,18,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
2019-06-20,0,0.49523809523809526,19,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2019-06-21,0,0.2761904761904762,20,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2019-06-22,0,0.6095238095238096,21,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2019-06-23,0,0.5333333333333333,22,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2019-06-24,0,0.5047619047619047,23,0,1.2246467991473532e-16,-1.0,0.0,1.0
2019-06-25,0,0.45714285714285713,24,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2019-06-26,0,0.47619047619047616,25,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
2019-06-27,0,0.14285714285714285,26,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2019-06-28,0,0.29523809523809524,27,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2019-06-29,0,0.3047619047619048,28,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2019-06-30,0,0.4857142857142857,29,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2019-07-01,0,0.45714285714285713,30,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2019-07-02,0,0.5142857142857142,31,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2019-07-03,0,0.6285714285714286,32,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
2019-07-04,1,0.6857142857142857,33,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2019-07-05,0,0.5238095238095238,34,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2019-07-06,0,0.5142857142857142,35,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
2019-07-07,0,0.1523809523809524,36,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2019-07-08,0,0.38095238095238093,37,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2019-07-09,0,0.7142857142857143,38,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2019-07-10,0,0.7142857142857143,39,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
2019-07-11,0,0.8666666666666667,40,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2019-07-12,0,0.8666666666666667,41,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2019-07-13,0,0.5904761904761905,42,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
2019-07-14,0,0.26666666666666666,43,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2019-07-15,0,0.2761904761904762,44,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2019-07-16,0,0.12380952380952381,45,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2019-07-17,0,0.09523809523809523,46,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
2019-07-18,0,0.0380952380952381,47,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2019-07-19,0,0.06666666666666667,48,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2019-07-20,0,0.3904761904761905,49,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
2019-07-21,0,0.7142857142857143,50,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2019-07-22,0,0.7142857142857143,51,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2019-07-23,0,0.8666666666666667,52,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2019-07-24,0,0.8666666666666667,53,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
2019-07-25,0,0.580952380952381,54,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2019-07-26,0,0.26666666666666666,55,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2019-07-27,0,0.2761904761904762,56,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
2019-07-28,0,0.12380952380952381,57,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2019-07-29,0,0.09523809523809523,58,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2019-07-30,0,0.0380952380952381,59,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2019-07-31,0,0.06666666666666667,60,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
