Date,Holiday,Discount,Discounted Stores,Orders,Sales
2018-01-01,1,Yes,1.0,6509,5094374.22
2018-01-02,0,Yes,1.0,9738,7050675.0
2018-01-03,0,Yes,1.0,9473,6851526.0
2018-01-04,0,Yes,1.0,10132,7362648.0
2018-01-05,0,Yes,1.0,10883,8153604.0
2018-01-06,0,No,0.0,8169,5670336.0
2018-01-07,0,No,0.0,9657,6457113.0
2018-01-08,0,No,0.0,8403,5625087.0
2018-01-09,0,No,0.0,7979,5277087.0
2018-01-10,0,No,0.0,8380,5531445.0
2018-01-11,0,No,0.0,8997,6046179.0
2018-01-12,0,No,0.0,7750,5275521.0
2018-01-13,0,Yes,0.9919354838709677,10509,7339563.0
2018-01-14,1,Yes,0.9919354838709677,10226,7130455.95
2018-01-15,0,Yes,1.0,10003,7079205.0
2018-01-16,0,Yes,1.0,10419,6130263.0
2018-01-17,0,Yes,1.0,11124,6718521.0
2018-01-18,0,No,0.008064516129032258,7629,4218219.0
2018-01-19,0,No,0.008064516129032258,8676,4748208.0
2018-01-20,0,No,0.0,9862,5422140.0
2018-01-21,0,No,0.0,9792,5402745.0
2018-01-22,1,No,0.0,8123,5246729.3100000005
2018-01-23,0,No,0.0,9230,5031459.0
2018-01-24,0,No,0.0,7154,3928485.0
2018-01-25,0,Yes,0.9919354838709677,9332,5340936.0
2018-01-26,1,Yes,0.9919354838709677,5266,2942017.74
2018-01-27,0,Yes,0.9919354838709677,11316,6562794.0
2018-01-28,0,Yes,0.9919354838709677,14356,9016356.0
2018-01-29,0,Yes,1.0,12035,7558638.0
2018-01-30,0,No,0.008064516129032258,7727,4375266.0
2018-01-31,1,No,0.008064516129032258,7518,4254651.42
2018-02-01,0,No,0.008064516129032258,8141,4396632.0
2018-02-02,0,No,0.008064516129032258,8119,4410351.0
2018-02-03,0,No,0.0,9552,5227101.0
2018-02-04,0,No,0.0,9501,5235183.0
2018-02-05,0,No,0.0,7761,4322556.0
2018-02-06,0,Yes,0.9919354838709677,9522,5497437.0
2018-02-07,0,Yes,0.9919354838709677,9204,5300097.0
2018-02-08,0,Yes,0.9919354838709677,9896,5755107.0
2018-02-09,0,Yes,0.9919354838709677,10742,6361470.0
2018-02-10,1,Yes,0.9919354838709677,12146,6148860.96
2018-02-11,0,No,0.0,9086,5094183.0
2018-02-12,0,No,0.008064516129032258,8207,4449192.0
2018-02-13,0,No,0.008064516129032258,8402,4537047.0
2018-02-14,1,No,0.008064516129032258,8157,4401676.86
2018-02-15,0,No,0.008064516129032258,8761,4802826.0
2018-02-16,0,No,0.008064516129032258,9044,4971036.0
2018-02-17,0,No,0.0,9347,5198505.0
2018-02-18,0,Yes,0.9919354838709677,13019,7579326.0
2018-02-19,1,Yes,0.9919354838709677,10810,7361228.19
2018-02-20,0,Yes,0.9919354838709677,10742,6328176.0
2018-02-21,0,Yes,0.9919354838709677,11764,7100499.0
2018-02-22,0,No,0.20161290322580644,9586,5563671.0
2018-02-23,0,No,0.0,9058,5135013.0
2018-02-24,0,No,0.0,10375,5786235.0
2018-02-25,0,No,0.0,10093,5611161.0
2018-02-26,0,No,0.008064516129032258,9316,5127027.0
2018-02-27,0,No,0.008064516129032258,8894,4932927.0
2018-02-28,0,Yes,0.7983870967741935,9120,5194758.0
2018-03-01,1,Yes,1.0,8882,5055552.57
2018-03-02,1,Yes,1.0,1321,777421.98
2018-03-03,0,Yes,0.9919354838709677,11548,6761691.0
2018-03-04,0,Yes,0.9919354838709677,13126,7809558.0
2018-03-05,0,Yes,0.20161290322580644,9139,5182422.0
2018-03-06,0,No,0.0,9440,5284722.0
2018-03-07,0,No,0.0,10072,5527824.0
2018-03-08,0,No,0.0,8944,4823013.0
2018-03-09,0,No,0.0,8813,4728279.0
2018-03-10,0,No,0.0,10677,5950602.0
2018-03-11,0,No,0.7903225806451613,11203,6392664.0
2018-03-12,0,Yes,1.0,10145,5780604.0
2018-03-13,0,Yes,1.0,9984,5751777.0
2018-03-14,0,Yes,1.0,10159,5885160.0
2018-03-15,0,Yes,1.0,11625,6883668.0
2018-03-16,0,No,0.20967741935483872,11168,6418437.0
2018-03-17,0,Yes,0.7903225806451613,13639,8082657.0
2018-03-18,1,Yes,0.9919354838709677,13257,7843503.78
2018-03-19,0,Yes,0.9919354838709677,10490,6194085.0
2018-03-20,0,Yes,0.9919354838709677,11165,6702648.0
2018-03-21,0,Yes,0.20161290322580644,8824,5013339.0
2018-03-22,0,No,0.0,7885,4255914.0
2018-03-23,0,No,0.0,8241,4423305.0
2018-03-24,0,No,0.0,9493,5132823.0
2018-03-25,1,No,0.0,9220,4973249.91
2018-03-26,0,No,0.008064516129032258,8797,4694271.0
2018-03-27,0,No,0.008064516129032258,8797,4845537.0
2018-03-28,0,Yes,0.7983870967741935,9130,5235591.0
2018-03-29,1,Yes,1.0,8878,5089245.09
2018-03-30,1,Yes,1.0,7149,4092929.16
